Rank,Name
1,Rihanna
2,Drake
3,Coldplay
4,Eminem
5,The Weeknd
6,Maroon 5
7,Bruno Mars
8,Kanye West
9,Taylor Swift
10,Ed Sheeran
11,Adele
12,Beyonce
13,Justin Bieber
14,Kendrick Lamar
15,Katy Perry
16,Lady Gaga
17,Nicki Minaj
18,Calvin Harris
19,Red Hot Chili Peppers
20,Imagine Dragons
21,U2
22,Lana Del Rey
23,Ariana Grande
24,David Guetta
25,Queen
26,Chris Brown
27,Lil Wayne
28,Arctic Monkeys
29,Radiohead
30,Post Malone
31,Justin Timberlake
32,Miley Cyrus
33,The Killers
34,Usher
35,Billie Eilish
36,Pitbull
37,J. Cole
38,Fleetwood Mac
39,Sam Smith
40,Black Eyed Peas
41,Green Day
42,Wiz Khalifa
43,Sia
44,Kings of Leon
45,Elton John
46,Frank Ocean
47,Travis Scott
48,Ellie Goulding
49,The Rolling Stones
50,Britney Spears
51,Jason Derulo
52,Metallica
53,Shakira
54,A$AP Rocky
55,Muse
56,OneRepublic
57,Future
58,Flo Rida
59,Foo Fighters
60,Gorillaz
61,Alicia Keys
62,Childish Gambino
63,Mumford & Sons
64,Twenty One Pilots
65,Paramore
66,Fall Out Boy
67,Lorde
68,Shawn Mendes
69,Kid Cudi
70,Big Sean
71,Snoop Dogg
72,Khalid
73,Harry Styles
74,"Tyler, The Creator"
75,SZA
76,Tame Impala
77,Selena Gomez
78,AC/DC
79,Demi Lovato
80,Dua Lipa
81,The Chainsmokers
82,Guns N' Roses
83,Jay-Z
84,Panic! At the Disco
85,John Mayer
86,MGMT
87,The Cure
88,50 Cent
89,Hozier
90,John Legend
91,Kesha
92,Mariah Carey
93,blink-182
94,Skrillex
95,The Black Keys
96,The Neighbourhood
97,Major Lazer
98,Michael Buble
99,The Strokes
100,The Lumineers
101,Halsey
102,Dr. Dre
103,Pearl Jam
104,DJ Khaled
105,Tyga
106,Bon Iver
107,Doja Cat
108,Foster the People
109,Pharrell Williams
110,Macklemore & Ryan Lewis
111,Kelly Clarkson
112,Avril Lavigne
113,T.I.
114,Jennifer Lopez
115,Madonna
116,The xx
117,Nickelback
118,Weezer
119,Bastille
120,Enrique Iglesias
121,Stevie Wonder
122,Lil Uzi Vert
123,Miguel
124,OutKast
125,Bon Jovi
126,Cardi B
127,Jack Johnson
128,Ne-Yo
129,Bob Dylan
130,21 Savage
131,Migos
132,Billy Joel
133,Aerosmith
134,Trey Songz
135,Train
136,Jason Mraz
137,System of a Down
138,Young Thug
139,Arcade Fire
140,Tiësto
141,Ty Dolla $ign
142,Cage the Elephant
143,Christina Aguilera
144,alt-J
145,G-Eazy
146,2 Chainz
147,Chance the Rapper
148,Florence + The Machine
149,Kygo
150,Akon
151,Bad Bunny
152,Olivia Rodrigo
153,Disclosure
154,Zedd
155,5 Seconds of Summer
156,The Script
157,Marshmello
158,Jessie J
159,Meghan Trainor
160,B.o.B
161,The 1975
162,One Direction
163,Gucci Mane
164,The Smashing Pumpkins
165,Eagles
166,Slipknot
167,Bruce Springsteen
168,Martin Garrix
169,Jeremih
170,Nelly
171,J Balvin
172,The Kooks
173,Labrinth
174,Vance Joy
175,Two Door Cinema Club
176,Sean Paul
177,Of Monsters and Men
178,The Fray
179,Charlie Puth
180,The Beach Boys
181,DJ Snake
182,Clean Bandit
183,Vampire Weekend
184,Camila Cabello
185,T-Pain
186,Meek Mill
187,Journey
188,Logic
189,Metro Boomin
190,Mac DeMarco
191,Daddy Yankee
192,P!NK
193,The Offspring
194,M83
195,Depeche Mode
196,Pixies
197,Ludacris
198,Nas
199,Tove Lo
200,Avicii
201,Mark Ronson
202,Beck
203,Diplo
204,Luke Bryan
205,Rae Sremmurd
206,Eric Clapton
207,Little Mix
208,Death Cab for Cutie
209,Rick Ross
210,ZAYN
211,Kali Uchis
212,Phoenix
213,French Montana
214,Linkin Park
215,Tory Lanez
216,Flume
217,Gwen Stefani
218,Bryson Tiller
219,Kodak Black
220,Snow Patrol
221,ScHoolboy Q
222,James Arthur
223,The Who
224,Korn
225,Fun.
226,Santana
227,Joji
228,Jhene Aiko
229,Lil Yachty
230,BTS
231,Lil Nas X
232,Lady A
233,Timbaland
234,Swedish House Mafia
235,Cigarettes After Sex
236,The Goo Goo Dolls
237,PARTYNEXTDOOR
238,Nelly Furtado
239,Steve Lacy
240,Alessia Cara
241,Bring Me The Horizon
242,Jason Aldean
243,Evanescence
244,YG
245,Troye Sivan
246,Melanie Martinez
247,Lewis Capaldi
248,A Boogie Wit da Hoodie
249,Passenger
250,Lynyrd Skynyrd
251,Kiss
252,Sufjan Stevens
253,will.i.am
254,Carly Rae Jepsen
255,Playboi Carti
256,Kehlani
257,Deadmau5
258,Fergie
259,Blackbear
260,Blur
261,George Ezra
262,Beach House
263,Fetty Wap
264,Carrie Underwood
265,Lupe Fiasco
266,Moby
267,"Earth, Wind & Fire"
268,Daniel Caesar
269,Queens of the Stone Age
270,Modest Mouse
271,Gotye
272,M.I.A.
273,Norah Jones
274,Iggy Azalea
275,Charli XCX
276,Bryan Adams
277,Three Days Grace
278,Franz Ferdinand
279,Van Morrison
280,The National
281,Wale
282,Lil Baby
283,Daft Punk
284,Trippie Redd
285,Mary J. Blige
286,Glass Animals
287,Lily Allen
288,Russ
289,Paul McCartney
290,My Chemical Romance
291,Lizzo
292,Mike Posner
293,Sublime
294,Ice Cube
295,Rod Stewart
296,Tim McGraw
297,Rascal Flatts
298,Disturbed
299,Deftones
300,Yeah Yeah Yeahs
301,Incubus
302,Birdy
303,The All-American Rejects
304,The Game
305,Passion Pit
306,Zara Larsson
307,Empire of the Sun
308,Ciara
309,Zac Brown Band
310,James Blake
311,Bebe Rexha
312,Avenged Sevenfold
313,Backstreet Boys
314,Rex Orange County
315,Florida Georgia Line
316,Thirty Seconds to Mars
317,Robin Thicke
318,Keith Urban
319,Nine Inch Nails
320,R. Kelly
321,Jonas Brothers
322,Owl City
323,James Bay
324,Juicy J
325,Blondie
326,The Shins
327,Blake Shelton
328,Milky Chance
329,Brent Faiyaz
330,Maluma
331,Fifth Harmony
332,Christina Perri
333,Taio Cruz
334,Neil Young
335,ABBA
336,All Time Low
337,Massive Attack
338,Fleet Foxes
339,Quavo
340,Limp Bizkit
341,Ozuna
342,A$AP Ferg
343,Iron Maiden
344,Portugal. The Man
345,Band of Horses
346,Van Halen
347,James Blunt
348,A Tribe Called Quest
349,Kid Ink
350,Papa Roach
351,Machine Gun Kelly
352,MARINA
353,Mitski
354,Ozzy Osbourne
355,Daryl Hall & John Oates
356,3 Doors Down
357,Foals
358,Phil Collins
359,Clairo
360,Grouplove
361,Lykke Li
362,Anderson .Paak
363,Marilyn Manson
364,Celine Dion
365,Alice In Chains
366,New Order
367,Lauv
368,Sting
369,Iron & Wine
370,Def Leppard
371,Joey Bada$$
372,Niall Horan
373,Sum 41
374,Hans Zimmer
375,Keane
376,Sean Kingston
377,Tears For Fears
378,Gunna
379,No Doubt
380,NF
381,Missy Elliott
382,Duran Duran
383,Rise Against
384,Steve Aoki
385,Pusha T
386,MØ
387,Robbie Williams
388,Dave Matthews Band
389,Counting Crows
390,Rita Ora
391,Rudimental
392,Young the Giant
393,Conan Gray
394,Lenny Kravitz
395,Jorja Smith
396,Wu-Tang Clan
397,Jimmy Eat World
398,Mac Miller
399,Busta Rhymes
400,Offset
401,Edward Sharpe & The Magnetic Zeros
402,ODESZA
403,girl in red
404,Erykah Badu
405,Rammstein
406,Tom Odell
407,Kenny Chesney
408,TLC
409,AWOLNATION
410,Ben Howard
411,Brad Paisley
412,Chemical Brothers
413,The Temper Trap
414,Kasabian
415,Megan Thee Stallion
416,Sara Bareilles
417,Grimes
418,Armin van Buuren
419,BLACKPINK
420,LMFAO
421,Bazzi
422,Macklemore
423,Olly Murs
424,Glee Cast
425,Toto
426,Colbie Caillat
427,Alanis Morissette
428,Sigur Rós
429,Neon Trees
430,Plain White T's
431,Her
432,Amine
433,Walk the Moon
434,Rage Against The Machine
435,Dolly Parton
436,TV Girl
437,Kylie Minogue
438,Nicky Jam
439,Anne-Marie
440,Nick Jonas
441,Alabama Shakes
442,6LACK
443,Alan Walker
444,Dababy
445,Bonobo
446,The Prodigy
447,Bjork
448,Shaggy
449,HAIM
450,Paul Simon
451,Don Omar
452,Breaking Benjamin
453,Gym Class Heroes
454,Becky G
455,Hailee Steinfeld
456,Bloc Party
457,Galantis
458,The Wombats
459,Cold War Kids
460,Afrojack
461,The Verve
462,Interpol
463,Jonas Blue
464,ZZ Top
465,Waka Flocka Flame
466,Motley Crue
467,ROSALIA
468,Jamiroquai
469,Karol G
470,Jack Harlow
471,Summer Walker
472,Robin Schulz
473,Alesso
474,Leona Lewis
475,A Day to Remember
476,Chief Keef
477,Jess Glynne
478,Feist
479,Five Finger Death Punch
480,Angus & Julia Stone
481,The Pussycat Dolls
482,Shinedown
483,Miranda Lambert
484,Julia Michaels
485,Chris Stapleton
486,Jeezy
487,Regina Spektor
488,Brockhampton
489,X Ambassadors
490,Tate McRae
491,$UICIDEBOY$
492,Fatboy Slim
493,Stromae
494,James Taylor
495,Lionel Richie
496,Tracy Chapman
497,Paolo Nutini
498,Kodaline
499,Scorpions
500,Yo Gotti
501,Lord Huron
502,Ms. Lauryn Hill
503,Cyndi Lauper
504,Jose González
505,Justice
506,Tinie Tempah
507,Al Green
508,CHVRCHES
509,Tool
510,Sabrina Carpenter
511,Romeo Santos
512,Dominic Fike
513,Crystal Castles
514,Sheryl Crow
515,Mika
516,Pentatonix
517,Jungle
518,Matchbox Twenty
519,Foreigner
520,The Flaming Lips
521,Aloe Blacc
522,The Head and the Heart
523,3OH!3
524,Vince Staples
525,Ski Mask The Slump God
526,Stone Temple Pilots
527,Simple Plan
528,Dido
529,The Temptations
530,Phantogram
531,Plan B
532,London Grammar
533,The Naked and Famous
534,Portishead
535,Seether
536,Noah Kahan
537,Kaytranada
538,Good Charlotte
539,Tinashe
540,The Wanted
541,Emeli Sande
542,Luis Fonsi
543,Placebo
544,Pierce the Veil
545,Pantera
546,Eric Church
547,Grizzly Bear
548,Fabolous
549,Deep Purple
550,La Roux
551,Leon Bridges
552,Billy Idol
553,Thundercat
554,P/NK
555,Dave
556,Stormzy
557,Phoebe Bridgers
558,Common
559,Boyz II Men
560,Thomas Rhett
561,Shania Twain
562,Kaiser Chiefs
563,Luke Combs
564,Wilco
565,Spoon
566,Prince Royce
567,Cypress Hill
568,Gavin DeGraw
569,Janelle Monáe
570,Miike Snow
571,Natasha Bedingfield
572,Måneskin
573,Ludovico Einaudi
574,6ix9ine
575,lil pump
576,PinkPantheress
577,Air
578,Damien Rice
579,Bombay Bicycle Club
580,Bullet for My Valentine
581,Kevin Gates
582,Lifehouse
583,Metric
584,Dean Lewis
585,Local Natives
586,INXS
587,Steve Miller Band
588,Icona Pop
589,Hot Chip
590,Toby Keith
591,Kelly Rowland
592,Sleeping With Sirens
593,FITZ AND THE TANTRUMS
594,Ray LaMontagne
595,Megadeth
596,Daughter
597,Sam Hunt
598,Lil Durk
599,Earl Sweatshirt
600,WIZKID
601,Boston
602,NAV
603,Willow
604,Lil Jon
605,Willie Nelson
606,George Strait
607,Selena Gomez & The Scene
608,The Roots
609,Mother Mother
610,The Kid LAROI.
611,CeeLo Green
612,Jamie Foxx
613,Wallows
614,Third Eye Blind
615,Cake
616,Stereophonics
617,The Band Perry
618,LCD Soundsystem
619,Rich the Kid
620,Kid Rock
621,John Newman
622,N.W.A.
623,Dierks Bentley
624,Kyle
625,Andy Grammer
626,Jaden
627,Jack White
628,Janet Jackson
629,Lost Frequencies
630,Beirut
631,Santigold
632,Metronomy
633,Daughtry
634,Morgan Wallen
635,Steely Dan
636,The Vamps
637,BØRNS
638,Nick Cave and The Bad Seeds
639,Rob Zombie
640,Allison Kane
641,Lil Tecca
642,Gnarls Barkley
643,AJR
644,Little Dragon
645,Belle and Sebastian
646,Lukas Graham
647,YoungBoy Never Broke Again
648,John Williams
649,Iggy Pop
650,Chase Atlantic
651,Supertramp
652,BANKS
653,Baby Keem
654,Mazzy Star
655,Khruangbin
656,a-ha
657,Kaskade
658,Heart
659,Tegan and Sara
660,GoldLink
661,PnB Rock
662,Alice Cooper
663,Kool & The Gang
664,NERO
665,Skillet
666,Michael Kiwanuka
667,Years & Years
668,Cher
669,Peter Gabriel
670,Alec Benjamin
671,YNW Melly
672,Jay Sean
673,Polo G
674,The Vaccines
675,Skepta
676,Don Toliver
677,Maná
678,Ingrid Michaelson
679,Tom Petty And The Heartbreakers
680,Robyn
681,Ava Max
682,Men I Trust
683,Mario
684,Aphex Twin
685,Capital Cities
686,Farruko
687,Doobie Brothers
688,Broken Bells
689,Ella Mai
690,DMX
691,Cat Power
692,Magic!
693,The Stone Roses
694,Asking Alexandria
695,Far East Movement
696,Ratatat
697,E-40
698,Kacey Musgraves
699,Mos Def
700,Toro y Moi
701,Cults
702,Roddy Ricch
703,Marc Anthony
704,Bill Withers
705,Estelle
706,Keri Hilson
707,Rauw Alejandro
708,Fiona Apple
709,Swae Lee
710,Desiigner
711,Kelis
712,Zach Bryan
713,Anuel AA
714,Oh Wonder
715,Caribou
716,Eddie Vedder
717,Dizzee Rascal
718,Father John Misty
719,Staind
720,Beabadoobee
721,Benny Benassi
722,Falling In Reverse
723,Röyksopp
724,Hardwell
725,Hollywood Undead
726,Ja Rule
727,James Morrison
728,Bright Eyes
729,Creed
730,The Avett Brothers
731,TV On the Radio
732,Cascada
733,Royal Blood
734,Mayday Parade
735,Aventura
736,Ricky Martin
737,Tenacious D
738,Denzel Curry
739,Noah Cyrus
740,Black Sabbath
741,lil skies
742,Duke Dumont
743,Jay Rock
744,NLE Choppa
745,DNCE
746,Rush
747,Fred Again
748,Darius Rucker
749,Madison Beer
750,Sleeping At Last
751,PJ Harvey
752,AlunaGeorge
753,Sage the Gemini
754,Sarah McLachlan
755,Unknown Mortal Orchestra
756,Peter Bjorn and John
757,Lil Dicky
758,Chicago
759,First Aid Kit
760,UB40
761,Tom Waits
762,Simple Minds
763,Godsmack
764,Skylar Grey
765,Cavetown
766,RÜFÜS DU SOL
767,The Lonely Island
768,Lee Brice
769,Solange
770,PSY
771,Catfish and the Bottlemen
772,Dan + Shay
773,Young Money
774,Slayer
775,The Decemberists
776,Cheat Codes
777,Boys Like Girls
778,City and Colour
779,Neil Diamond
780,Ashanti
781,Raye
782,EXO
783,Burna Boy
784,St. Vincent
785,Yellowcard
786,R3HAB
787,Aretha Franklin
788,Keyshia Cole
789,Alan Jackson
790,Ben Harper
791,ZHU
792,Ryan Adams
793,Jax Jones
794,Billy Currington
795,Will Smith
796,Jordin Sparks
797,The Fratellis
798,Eyedress
799,Pet Shop Boys
800,Tech N9ne
801,Daya
802,SBTRKT
803,Juanes
804,Diddy
805,Jamie xx
806,Flying Lotus
807,Rich Homie Quan
808,Enya
809,TWICE
810,Martin Solveig
811,Jessie Ware
812,The Drums
813,Taking Back Sunday
814,The Cardigans
815,Tom Misch
816,Blue Öyster Cult
817,Bush
818,Chase & Status
819,Smash Mouth
820,Jake Bugg
821,Brandy
822,Ginuwine
823,Liam Payne
824,N.E.R.D.
825,Manu Chao
826,Animal Collective
827,Judas Priest
828,Stevie Nicks
829,The Isley Brothers
830,Craig David
831,Jon Bellion
832,lil tjay
833,Kansas
834,Jeremy Zucker
835,gnash
836,Andrew Bird
837,The Raconteurs
838,Wyclef Jean
839,LL Cool J
840,Sebastian Yatra
841,Corinne Bailey Rae
842,Dillon Francis
843,Stone Sour
844,Fugees
845,Flight Facilities
846,Hunter Hayes
847,311
848,Pendulum
849,Still Woozy
850,Washed Out
851,Cobra Starship
852,Shelley FKA DRAM
853,Phillip Phillips
854,Mura Masa
855,Chris Young
856,David Gray
857,BASSNECTAR
858,Little Big Town
859,The War on Drugs
860,Juice WRLD
861,Alina Baraz
862,KALEO
863,Thievery Corporation
864,Bone Thugs-n-Harmony
865,The Internet
866,Blood Orange
867,My Morning Jacket
868,Alex G
869,The Animals
870,Lloyd
871,Take That
872,Jake Owen
873,Hoobastank
874,Gregory Alan Isakov
875,James Vincent McMorrow
876,The Paper Kites
877,The Ting Tings
878,Hillsong United
879,Wolfmother
880,American Authors
881,Chet Faker
882,Garbage
883,America
884,Diana Ross
885,Fat Joe
886,Adam Lambert
887,Cher Lloyd
888,Omarion
889,We The Kings
890,Alex Clare
891,Naughty Boy
892,The Civil Wars
893,Survivor
894,Two Feet
895,Flux Pavilion
896,Biffy Clyro
897,Reik
898,Silversun Pickups
899,The Used
900,Tori Kelly
901,Isaiah Rashad
902,Dropkick Murphys
903,Porter Robinson
904,Soulja Boy
905,Novo Amor
906,Sampha
907,Matt and Kim
908,Iyaz
909,Example
910,Azealia Banks
911,A Perfect Circle
912,Seal
913,Sigala
914,Pretenders
915,Pulp
916,Yusuf / Cat Stevens
917,Arcangel
918,Rag'n'Bone Man
919,Stray Kids
920,Idina Menzel
921,Groove Armada
922,The Cranberries
923,Kenny Loggins
924,Elbow
925,Snakehips
926,Kane Brown
927,The Cinematic Orchestra
928,Oliver Tree
929,Switchfoot
930,De La Soul
931,Giveon
932,Editors
933,Adam Levine
934,LANY
935,The-Dream
936,Bo Burnham
937,Bizarrap
938,Masego
939,Duffy
940,Current Joys
941,Saweetie
942,Cheap Trick
943,Danny Brown
944,Ruth B
945,EELS
946,The Red Jumpsuit Apparatus
947,Jessie Reyez
948,SB19
949,Chevelle
950,Scissor Sisters
951,Jane's Addiction
952,Theory of a Deadman
953,Sugarland
954,Travie McCoy
955,Calum Scott
956,Maxwell
957,STRFKR
958,Jacquees
959,Vacations
960,The Hives
961,Feid
962,AURORA
963,Mobb Deep
964,Conor Maynard
965,Violent Femmes
966,Echo & The Bunnymen
967,Bowling for Soup
968,D'Angelo
969,Ice Spice
970,Brand New
971,Future Islands
972,Lin-Manuel Miranda
973,FKA twigs
974,Chromeo
975,Ghost
976,Purity Ring
977,JID
978,DJ Shadow
979,ILLENIUM
980,yeat
981,Four Tet
982,Puddle of Mudd
983,Eve
984,Yandel
985,Jet
986,Nico & Vinz
987,MAX
988,The B-52's
989,MadeinTYO
990,Eric Prydz
991,August Alsina
992,Brooks & Dunn
993,Pretty Lights
994,Mustard
995,A$AP Mob
996,Morrissey
997,Joyner Lucas
998,Cuco
999,Mr Probz
1000,Matisyahu
